Organization Name,Organization Name URL,Stage,Industries,Headquarters Location,Description,CB Rank (Company),Headquarters Regions,Operating Status,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Company Type,Website,Number of Sub-Orgs,Investor Type,Investment Stage,Number of Exits (IPO),Number of Exits,Number of Diversity Investments,Number of Investments,Number of Lead Investments,Number of Portfolio Organizations,Primary Industry,Primary Industry URL,Industry Groups,Founders,Number of Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Last Equity Funding Type,Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Top 5 Investors,Lead Investors,Number of Lead Investors,Number of Investors
Liebherr Group,https://www.crunchbase.com/organization/liebherr-group,,"Construction, Home Appliances, Industrial, Manufacturing","Biberach An Der Riß, Baden-Wurttemberg, Germany",Liebherr Group is a manufacturer of construction equipment.,"247,384","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1949-01-01,year,,,For Profit,http://www.liebherr.com,,,,,,,,,,,,"Consumer Goods, Manufacturing, Real Estate",Hans Liebherr,1,10001+,,,,,,,,,,,,,,,,,,,,,
Diehl Defence,https://www.crunchbase.com/organization/diehl-defence,,"Business Development, Innovation Management, Training","Überlingen, Baden-Wurttemberg, Germany",Diehl Defence is a provider of high-tech defense equipment.,"248,362","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1902-01-01,year,,,For Profit,https://www.diehl.com/defence/de/,1,,,,,,,,,,,"Education, Professional Services",,,1001-5000,,,,,,,,,,,,,,,,,,,,,
Naval Group,https://www.crunchbase.com/organization/naval-group,,"Aerospace, Energy, Industrial, Security","Paris, Ile-de-France, France",Naval Group is a defense contractor and industrial group that specialized in naval-based defense platform and the marine renewable energy.,"250,906","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2002-01-31,day,,,For Profit,http://www.naval-group.com,,,,,,,1,,1,,,"Energy, Manufacturing, Privacy and Security, Science and Engineering",,,10001+,,,,,,,,,,,,,,,,,,,,,
Qatalum,https://www.crunchbase.com/organization/qatalum,,"Customer Service, Industrial, Industrial Manufacturing, Logistics, Manufacturing","Doha, Ad Dawhah, Qatar",Qatalum is an aluminum smelter that produces aluminum products.,"261,861","Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East",Active,2007-01-01,year,,,For Profit,https://www.qatalum.com,,,,,,,,,,,,"Manufacturing, Other, Professional Services, Transportation",,,1001-5000,,,,,,,,,,,,,,,,,,,,,
Sorainen,https://www.crunchbase.com/organization/sorainen,,"Legal, Professional Services, Service Industry","Tallinn, Harjumaa, Estonia",Sorainen is an integrated international business law firm.,"269,438","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1995-01-01,year,,,For Profit,https://www.sorainen.com,,,,,,,,,,,,"Other, Professional Services",,,251-500,,,,,,,,,,,,,,,,,,,,,
Reaktor,https://www.crunchbase.com/organization/reaktor-3,,"Enterprise Software, Information Technology, Mobile","New York, New York, United States","Reaktor is a strategy, design, and engineering company.","269,610","Greater New York Area, East Coast, Northeastern US",Active,2000-01-01,year,,,For Profit,http://reaktor.com/,,,,,,,2,,2,,,"Information Technology, Mobile, Software","Antti Makela, Hannu Terava, Tuomas Routto, Vesa Lauronen",4,501-1000,,,,,,,,,,,,,,,,,,,,,
Latvian Mobile Phone,https://www.crunchbase.com/organization/latvijas-mobilais-telefons,,"InsurTech, Internet, Mobile, Retail, Telecommunications","Riga, Riga, Latvia","LMT is a mobile operator that supplies mobile telecommunications, internet, TV, and smart devices.","282,410","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1992-01-01,year,,,For Profit,https://www.lmt.lv,,,,,,,,,,,,"Commerce and Shopping, Financial Services, Hardware, Internet Services, Mobile",,,1001-5000,,,,,,,,,,,,,,,,,,,,,
Telefonica Brasil,https://www.crunchbase.com/organization/telefônica-brasil,,Telecommunications,"São Paulo, Sao Paulo, Brazil","Telefônica Brasil is a leading integrated telecommunications operator in Brazil, providing services nationwide under the Vivo brand.","285,274",Latin America,Active,1998-06-04,day,1998-11-16,day,For Profit,http://www.telefonica.com.br,,,,,,,,,,,,Hardware,,,10001+,,IPO,,,,,,,,,,,,,,,,,,,
Scytalys,https://www.crunchbase.com/organization/scytalys,,"A/B Testing, Information Technology, Software","Argyroupolis, Attiki, Greece","Scytalys develops software solutions along with system integration, installation, testing, and operations for the defense and space sector.","285,352","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1993-01-01,day,,,For Profit,http://www.scytalys.com,,,,,,,,,,,,"Data and Analytics, Information Technology, Software",,,101-250,,,,,,,,,,,,,,,,,,,,,
Aaronia AG,https://www.crunchbase.com/organization/aaronia-ag,,Manufacturing,"Euscheid, Rheinland-Pfalz, Germany",Aaronia is a manufacturing-based company that offers RF and EMF solutions.,"293,520","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2003-03-01,month,,,For Profit,http://www.aaronia.de,,,,,,,,,,,,Manufacturing,Thorsten Chmielus,1,51-100,,,,,,,,,,,,,,,,,,,,,
Nedinsco,https://www.crunchbase.com/organization/nedinsco,,"Electronics, Industrial, Machinery Manufacturing, Manufacturing, Mechanical Design","Venlo, Limburg, The Netherlands","Nedinsco manufactures semiconductors and industrial machinery for optical, mechanical, and electronic markets.","299,281","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1921-01-01,year,2026-03-05,day,For Profit,https://nedinsco.com/,,,,,,,,,,,,"Consumer Electronics, Design, Hardware, Manufacturing",,,101-250,,M&A,,,,,,,,,,,,,,,,,,,
Nammo,https://www.crunchbase.com/organization/nammo,,"3D Printing, Consumer Electronics, Manufacturing","Raufoss, Oppland, Norway",NAMMO AS is a developer and manufacturer of ammunition systems and missile & space propulsion products.,"303,975","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",Active,1998-01-01,day,,,For Profit,https://www.nammo.com/,1,,,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing",Raufoss Ammunisjonsfabrikker,1,1001-5000,,,,,,,,,,,,,,,,,,,,,
Human Autonomy Teaming Technologies,https://www.crunchbase.com/organization/human-autonomy-teaming-technologies,,"Artificial Intelligence (AI), Consulting, Information Technology, Software","Neubiberg, Bayern, Germany","HAT.tec provides software for Human-Autonomy Teaming, enabling collaboration between humans and AI in automotive and defense sectors.","305,491","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2018-01-01,year,,,For Profit,https://www.hattec.de,,,,,,,,,,,,"Artificial Intelligence (AI), Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software","Fabian Schmitt, Yannick Brand",2,51-100,,,,,,,,,,,,,,,,,,,,,
Science [&] Technology,https://www.crunchbase.com/organization/science-technology,,"Life Science, Sensor, Software","Delft, Zuid-Holland, The Netherlands","Science [&] Technology creates research and development solutions for space, science, and defence.","310,920","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2000-01-01,year,,,For Profit,https://www.stcorp.nl/,,,,,,,1,1,1,,,"Biotechnology, Hardware, Science and Engineering, Software","Carina Maas-Olij, Erik Zoutman",2,101-250,1,,2015-03-01,50000,EUR,55915,Grant,,,,,,,,50000,EUR,55915,EISMEA,,,1
Philips Respironics,https://www.crunchbase.com/organization/philips-respironics,,"Biopharma, Developer Platform, Health Care, Manufacturing, Medical","Philips, Florida, United States","Philips Respironics develops, manufactures, and distributes products for sleep and respiratory markets.","311,297","East Coast, Southern US",Active,1976-01-01,year,2008-03-17,day,For Profit,https://www.usa.philips.com/healthcare/resources/landing/experience-catalog/respironics,,,,,,,,,,,,"Biotechnology, Health Care, Manufacturing, Science and Engineering, Software",Gerald E. McGinnis,1,1001-5000,,M&A,,,,,,,,,,,,,,,,,,,
Txt E Solutions,https://www.crunchbase.com/organization/txt-e-solutions,,"Aerospace, Automotive, Software","Barcelona, Catalonia, Spain","TXT e-solutions is an international, specialist supplier of engineering software solutions to assist customers in the high-tech market.","327,464","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2000-01-01,day,,,For Profit,https://lp.txtgroup.com,1,,,,,,,,,,,"Science and Engineering, Software, Transportation",,,1-10,,,,,,,,,,,,,,,,,,,,,
JFE Holdings,https://www.crunchbase.com/organization/jfe-holdings,,"Advanced Materials, Business Development, Industrial Engineering, Industrial Manufacturing, Manufacturing, Product Design","Tokyo, Tokyo, Japan","JFE Holdings engages in steel manufacturing, engineering, and trading businesses in Japan and internationally through its subsidiaries.","332,311",Asia-Pacific (APAC),Active,2002-01-01,year,2002-09-26,day,For Profit,http://www.jfe-holdings.co.jp/,1,,,,,,,,,,,"Design, Manufacturing, Professional Services, Science and Engineering",Atsushi Kakinoki,1,10001+,,IPO,,,,,,,,,,,,,,,,,,,
Sybilla Technologies,https://www.crunchbase.com/organization/sybilla-technologies,,"Business Development, Customer Service, Information Technology, Software","Bydgoszcz, Kujawsko-Pomorskie, Poland","Sybilla Technologies delivers autonomous optical systems, software and services for space safety and situational awareness.","346,795","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2011-01-01,year,,,For Profit,https://sybillatechnologies.com,,,,,,,,,,,,"Information Technology, Other, Professional Services, Software",,,11-50,,,,,,,,,,,,,,,,,,,,,
Helsing Munich,https://www.crunchbase.com/organization/helsing-munich,,Information Technology,"Munich, Bayern, Germany",Helsing Munich is a an information technology company.,"378,156","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2021-01-01,year,,,For Profit,https://www.helsing.ai,,,,,,,,,,,,Information Technology,"Niklas Köhler, Torsten Reil",2,1-10,,,,,,,,,,,,,,,,,,,,,
Damen Shipyards,https://www.crunchbase.com/organization/damen-shipyards,,"Marine Transportation, Real Estate, Shipping, Shipping Broker, Water Transportation","Gorinchem, Zuid-Holland, The Netherlands",Damen Shipyards Group consists of 32 operating companies worldwide.,"382,495","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1927-01-01,year,,,For Profit,http://www.damen.com,1,,,,,,2,,2,,,"Real Estate, Transportation",Jan Dame,1,10001+,,,,,,,,,,,,,,,,,,,,,
Avio Aero,https://www.crunchbase.com/organization/avio-aero,,"Aerospace, Manufacturing","Rivalta Di Torino, Piemonte, Italy","Avio Aero is a GE Aviation business which designs, manufactures and maintains components and systems for civil and military aviation.","389,300","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1908-01-01,year,2012-12-21,day,For Profit,http://www.avioaero.com,,,,,,,,,,,,"Manufacturing, Science and Engineering",,,1001-5000,,M&A,,,,,,,,,,,,,,,,,,,
Insta,https://www.crunchbase.com/organization/insta,,Real Estate,"Tampere, Western Finland, Finland",Insta Group Oy is a Finnish family business with the aim of building and maintaining a safe and competitive society.,"394,503","European Union (EU), Nordic Countries, Scandinavia",Active,1988-01-01,year,,,For Profit,https://www.insta.fi/,,,,,,,,,,,,Real Estate,,,1001-5000,,,,,,,,,,,,,,,,,,,,,
ATLAS ELEKTRONIK,https://www.crunchbase.com/organization/atlas-elektronik,,Aerospace,"Bremen, Bremen, Germany","ATLAS ELEKTRONIK GmbH, through its subsidiaries, designs, manufactures, and markets maritime.","397,012","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1902-01-01,year,2005-12-01,month,For Profit,https://www.atlas-elektronik.com/atlas-elektronik,,,,,,,,,,,,Science and Engineering,,,1001-5000,,M&A,,,,,,,,,,,,,,,,,,,
T4i Technology for Propulsion and Innovation srl,https://www.crunchbase.com/organization/t4i-technology-for-propulsion-and-innovation-srl,,"Aerospace, Industrial, Mechanical Design","Padova, Veneto, Italy",T4i is an Italian innovation company operating in the aerospace and other industrial sectors.,"397,193","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2014-01-01,year,,,For Profit,http://www.t4innovation.com,,,,,,,,,,,,"Design, Hardware, Manufacturing, Science and Engineering",,,11-50,1,,2015-07-01,50000,EUR,55246,Grant,,,,,,,,50000,EUR,55246,EISMEA,EISMEA,1,1
UBITECH,https://www.crunchbase.com/organization/ubitech-5705,,"Cloud Computing, Software Engineering","Athens, Attiki, Greece",Information Technology and Services,"412,414","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2005-01-01,day,,,For Profit,https://www.ubitech.eu/,,,,,,,1,,1,,,"Internet Services, Science and Engineering, Software",,,11-50,,,,,,,,,,,,,,,,,,,,,
CS GROUP,https://www.crunchbase.com/organization/cs-group-cc0f,,"Computer, Cyber Security, Industrial, Information Technology, Virtual Reality","Le Plessis-robinson, Ile-de-France, France","CS GROUP is to enter a professional environment focused on high-potential growth sectors that provides virtual reality, navigation systems.","418,082","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1996-01-01,year,2022-07-28,day,For Profit,https://www.csgroup.eu/fr/,1,,,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Privacy and Security, Software",,,1001-5000,,M&A,,,,,,,,,,,,,,,,,,,
Amman,https://www.crunchbase.com/organization/amman,,"Industrial, Mining, Precious Metals","Jakarta, Jakarta Raya, Indonesia",Amman is a mining industry that produces copper and gold mines.,"428,101","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",Active,2000-01-01,year,,,For Profit,https://www.amman.co.id ,,,,,,,,,,,,"Manufacturing, Natural Resources",,,1001-5000,,,,,,,,,,,,,,,,,,,,,
SH Group,https://www.crunchbase.com/organization/sh-group,,"Industrial Engineering, Mechanical Engineering","Svendborg, Syddanmark, Denmark","SH Group is develops, manufactures and services hydraulic, mechanical and electrical solutions mainly for the marine and offshore oil & gas.","431,980","European Union (EU), Nordic Countries, Scandinavia",Active,1974-01-01,year,2012-08-17,day,For Profit,https://shgroup.dk,,,,,,,,,,,,"Manufacturing, Science and Engineering",,,251-500,,M&A,,,,,,,,,,,,,,,,,,,
Terma,https://www.crunchbase.com/organization/terma,,"Consulting, Manufacturing, Space Travel","Lystrup, Nordjylland, Denmark",Terma is a manufacturer and developer of advanced structures for defense and non-defense aircraft and helicopters.,"435,626","European Union (EU), Nordic Countries, Scandinavia",Active,1944-01-01,year,,,For Profit,https://www.terma.com,,,,,,,,,,,,"Manufacturing, Professional Services, Transportation","Orla Jørgensen, Svend Aage Jørgensen",2,1001-5000,,,,,,,,,,,,,,,,,,,,,
Fokker Technologies,https://www.crunchbase.com/organization/fokker-technologies,,"Aerospace, Manufacturing","Papendrecht, Zuid-Holland, The Netherlands",Fokker Technologies is a strong and reliable partner that offers the individual specialties of our four specialized businesses.,"439,317","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1919-01-01,year,2015-07-28,day,For Profit,http://www.fokker.com/,,,,,,,,,,,,"Manufacturing, Science and Engineering",Anthony Fokker,1,1001-5000,,M&A,,,,,,,,,,,,,,,,,,,
Safran Passenger Innovations,https://www.crunchbase.com/organization/safran-passenger-innovations,,"Business Intelligence, In-Flight Entertainment, Software","Brea, California, United States",Safran Passenger Innovations provides innovative in-flight entertainment and connectivity systems.,"440,950","Greater Los Angeles Area, West Coast, Western US",Active,,,2025-12-10,day,,https://www.safran-group.com/companies/safran-passenger-innovations,,,,,,,,,,,,"Data and Analytics, Media and Entertainment, Software",,,501-1000,,M&A,,,,,,,,,,,,,,,,,,,
Nornickel,https://www.crunchbase.com/organization/norilsk-nickel,,"Mining, Precious Metals","Moscow, Moscow City, Russian Federation",Nornickel is a Russian nickel and palladium mining and smelting company.,"443,513","Europe, Middle East, and Africa (EMEA)",Active,1993-01-01,year,2006-12-26,day,For Profit,https://www.nornickel.com,,,,1,1,,1,1,1,,,Natural Resources,,,10001+,,IPO,,,,,,,,,,,,,,,,,,,
KGHM International,https://www.crunchbase.com/organization/kghm-international,,"Manufacturing, Precious Metals","Vancouver, British Columbia, Canada",KGHM International is develops and operates mines focusing primarily on copper.,"446,250",,Active,2002-01-01,year,,,For Profit,http://kghm.com,,,,,,,,,,,,"Manufacturing, Natural Resources",,,10001+,,,,,,,,,,,,,,,,,,,,,
Terra Spatium,https://www.crunchbase.com/organization/terra-spatium,,"Geospatial, Mapping Services, Remote Sensing, Security, Software","Koropí, Attiki, Greece","Terra Spatium offers geospatial and remote sensing solution in geoinformation such as mapping, defence, security, and maritime surveillance.","453,402","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1989-01-01,day,,,For Profit,http://www.terraspatium.gr,,,,,,,,,,,,"Data and Analytics, Hardware, Navigation and Mapping, Privacy and Security, Software","Dionysia Petala, Evangelos Symsaris, Fani Hatjina, Georgia Kalousi, Maliganis Nikolaos",5,11-50,,,,,,,,,,,,,,,,,,,,,
Andøya Space Center,https://www.crunchbase.com/organization/andøya-space-center,,"Drones, Service Industry, Space Travel","Andenes, Nordland, Norway","Andøya space center provides launch solutions to the unmanned aircraft, sounding rockets, and scientific balloons.","470,986","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",Active,1962-08-18,day,,,For Profit,http://www.andoyaspace.no,,,,,,,,,,,,"Consumer Electronics, Consumer Goods, Hardware, Other, Transportation",,,251-500,,,,,,,,,,,,,,,,,,,,,
Royal IHC,https://www.crunchbase.com/organization/ihc-engineering-business-ltd,,,"Kinderdijk, Zuid-Holland, The Netherlands",Innovative solutions for maritime service providers,"482,374","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1942-01-01,year,,,For Profit,https://www.royalihc.com/,,,,,,,,,,,,,,,1001-5000,,,,,,,,,,,,,,,,,,,,,
Grupo Tecopy,https://www.crunchbase.com/organization/grupo-tecopy,,Internet,"Madrid, Madrid, Spain","Tecopy GROUP is one of the best filmmakers of Studies, Projects and Technical Assistance in the areas of Civil and Industrial Engineering,","482,704","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1985-01-01,year,,,For Profit,http://www.grupotecopy.es,,,,,,,,,,,,Internet Services,,,51-100,,,,,,,,,,,,,,,,,,,,,
Sinomine Resource Group,https://www.crunchbase.com/organization/sinomine-resource-group,,"Mining, Precious Metals","Haidian, Beijing, China",Sinomine Resource Group offers mining services.,"484,386",Asia-Pacific (APAC),Active,1999-01-01,day,2014-12-30,day,For Profit,http://www.sinomine.cn/,,,,2,2,,4,2,4,,,Natural Resources,,,1001-5000,,IPO,,,,,,,,,,,,,,,,,,,
"software security, research & development",https://www.crunchbase.com/organization/software-security-research-development-ltd,,"Security, Software, UX Design, Web Development","Maribor, Maribor Commune, Slovenia","SSRD provides software, security, research, and development services.","495,699","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2018-01-01,month,,,For Profit,https://ssrd.io,,,,,,,,,,,,"Design, Privacy and Security, Software",Gregor Spagnolo,1,11-50,,,,,,,,,,,,,,,,,,,,,
Sopra Steria,https://www.crunchbase.com/organization/sopra-steria-f389,,"Cloud Computing, Consulting, Cyber Security, Information Technology, IT Infrastructure, Outsourcing, Software","Paris, Ile-de-France, France","Sopra Steria is an IT firm that provides consulting, cloud, sustainability, digital services, and software development.","517,327","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,,,,,For Profit,https://www.soprasteria.no,,,,,,,,,,,,"Information Technology, Internet Services, Privacy and Security, Professional Services, Software",,,10001+,,,,,,,,,,,,,,,,,,,,,
Clue Technologies,https://www.crunchbase.com/organization/clue-technologies,,"Electronics, Embedded Systems, Manufacturing, Semiconductor","Málaga, Andalucia, Spain","Clue Technologies develops electronic systems for the aerospace industry, focusing on innovation and simplicity.","518,241","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2013-01-01,year,2025-03-18,day,For Profit,https://www.clue.aero,,,,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering, Software",,,51-100,,M&A,,,,,,,,,,,,,,,,,,,
Wiser Technology,https://www.crunchbase.com/organization/wiser-technology-9bf6,,"Consulting, Information Services","Nis, Vojvodina, Serbia",Wiser Technology is a technology innovation critical software solution for organizations.,"533,448","Europe, Middle East, and Africa (EMEA)",Active,,,,,For Profit,https://wisertech.com/,,,,,,,,,,,,"Information Technology, Professional Services",Dimitar Dimitrov,1,251-500,,,,,,,,,,,,,,,,,,,,,
The Hellenic Aerospace Industry,https://www.crunchbase.com/organization/the-hellenic-aerospace-industry,,"Aerospace, Air Transportation, Transportation","Athens, Attiki, Greece",The Hellenic Aerospace Industry is a Greek aerospace and defense industry tasked with providing services and products to the Armed Forces.,"536,469","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1975-01-01,year,,,For Profit,https://www.haicorp.com/en/,,,,,,,,,,,,"Science and Engineering, Transportation",,,1001-5000,,,,,,,,,,,,,,,,,,,,,
John Cockerill,https://www.crunchbase.com/organization/cmi-cockerill-maintenance-engineering,,Industrial Engineering,"Seraing, Liege, Belgium","John Cockerill designs, integrates, modernizes and maintains equipment for energy, defense, iron and steel, the environment and industry.","537,441","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1817-01-01,year,,,For Profit,https://johncockerill.com/en/,,,,,,,,,,,,"Manufacturing, Science and Engineering",John Cockerill,1,1001-5000,,,,,,,,,,,,,,,,,,,,,
Novian,https://www.crunchbase.com/organization/novian,,"Information Technology, Software","Vilnius, Vilniaus Apskritis, Lithuania",Novian is an IT infrastructure and software services group aiming to increase value for clients by offering integrated services.,"539,972","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,,,,,For Profit,https://www.novian.io,,,,,,,,,,,,"Information Technology, Software",,,101-250,,,,,,,,,,,,,,,,,,,,,
Nokia Networks,https://www.crunchbase.com/organization/nokia-networks,,"Customer Service, Software, Telecommunications, Video","Espoo, Southern Finland, Finland",Nokia Networks is a data networking and telecommunications equipment company that provides voice and video networking solutions.,"549,128","European Union (EU), Nordic Countries, Scandinavia",Active,2006-01-01,year,,,For Profit,https://networks.nokia.com,,,,,,,,,,,,"Hardware, Media and Entertainment, Other, Professional Services, Software, Video","Fredrik Idestam, Leo Mechelin",2,10001+,1,,2007-11-20,,,,Venture - Series Unknown,,,,Venture - Series Unknown,,,,,,,Sekunjalo Group,,,1
GovSat,https://www.crunchbase.com/organization/govsat,,"Aerospace, Government, Satellite Communication, Security","Betzdorf, Grevenmacher, Luxembourg",GovSat deals is a government and SES venture that aims to render satellite communication services for the defense and aerospace sector.,"555,819","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2015-01-01,year,,,For Profit,https://govsat.lu,,,,,,,,,,,,"Government and Military, Hardware, Privacy and Security, Science and Engineering",,,11-50,,,,,,,,,,,,,,,,,,,,,
Alutus Land Sea Air,https://www.crunchbase.com/organization/alutus-land-sea-air,,"Consulting, Information Technology, Management Consulting, Product Design","Soúda, Khania, Greece","Alutus Land Sea Air is a provider of land and maritime surveillance, intelligence gathering, airborne ISR, environmental monitoring.","575,030","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,,,,,For Profit,https://altus-lsa.com,,,,,,,,,,,,"Design, Information Technology, Professional Services",,,11-50,,,,,,,,,,,,,,,,,,,,,
Safran - Navigation & Timing,https://www.crunchbase.com/organization/safran-navigation-timing,,"Electronics, Manufacturing, Navigation, Simulation","Les Mureaux, Picardie, France","Safran - N & T offers inertial navigation systems, simulation, accelerometers, and atomic clocks to the defence and aerospace industries.","575,171","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2006-01-01,year,,,For Profit,https://safran-navigation-timing.com,,,,,,,,,,,,"Consumer Electronics, Hardware, Manufacturing, Navigation and Mapping, Software",,,101-250,,,,,,,,,,,,,,,,,,,,,
ADSE Consulting and Engineering,https://www.crunchbase.com/organization/adse-consulting-and-engineering,,"Aerospace, Consulting, Mechanical Engineering, Product Design","Hoofddorp, Noord-Holland, The Netherlands",ADSE Consulting and Engineering provides support to aerospace and rail companies for product and organizational development.,"579,891","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1996-05-31,day,,,For Profit,http://www.adse.eu ,,,,,,,,,,,,"Design, Professional Services, Science and Engineering",,,51-100,,,,,,,,,,,,,,,,,,,,,
Sensonor,https://www.crunchbase.com/organization/sensonor,,Manufacturing,"Horten, Vestfold, Norway",Sensonor AS is a Norwegian producer and developer of MEMS gyro and pressure sensors.,"600,863","Nordic Countries, Scandinavia, Europe, Middle East, and Africa (EMEA)",Active,1985-01-01,day,,,For Profit,http://www.sensonor.com/,,,,,,,,,,,,Manufacturing,Sverre Horntvedt,1,51-100,,,,,,,,,,,,,,,,,,,,,
IDS,https://www.crunchbase.com/organization/ids-2,,"Aerospace, Consulting, Electronics, Information Technology, Manufacturing, Software, Virtual Reality","Pisa, Toscana, Italy","IDS is an independent engineering and systems technologies company, providing research, innovation and products in Air Traffic Management","601,439","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1980-01-01,year,,,For Profit,https://www.idscorporation.com,,,,,,,,,,,,"Consumer Electronics, Hardware, Information Technology, Manufacturing, Professional Services, Science and Engineering, Software",,,251-500,,,,,,,,,,,,,,,,,,,,,
East Pipes Integrated Company,https://www.crunchbase.com/organization/east-pipes-integrated-company,,"Industrial, Manufacturing, Oil and Gas","Dammam, Ash Sharqiyah, Saudi Arabia",East Pipes Integrated Company is a pipe manufacturing company that provides coating and ancillary services.,"605,559","Europe, Middle East, and Africa (EMEA), Gulf Cooperation Council (GCC), Middle East",Active,2010-01-01,year,,,For Profit,https://www.eastpipes.com,,,,,,,,,,,,"Energy, Manufacturing, Natural Resources",,,501-1000,,,,,,,,,,,,,,,,,,,,,
China Hongqiao Group,https://www.crunchbase.com/organization/china-hongqiao-group,,"Industrial Manufacturing, Manufacturing, Precious Metals","Shandong, Fujian, China",China Hongqiao Group is a Chinese company engaged in aluminum product manufacturing.,"606,963",Asia-Pacific (APAC),Active,1994-01-01,year,,,For Profit,http://www.hongqiaochina.com,,,,,,,,,,,,"Manufacturing, Natural Resources",,,10001+,,,,,,,,,,,,,,,,,,,,,
Guardiaris,https://www.crunchbase.com/organization/guardiaris,,"3D Technology, Simulation, Training","Ljubljana, Ljubljana Urban Commune, Slovenia","Guardiaris creates custom simulation training solutions for defense, focusing on military marksmanship and tactical training.","618,194","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2007-01-01,year,,,For Profit,https://www.guardiaris.com,,,,,,,,,,,,"Education, Hardware, Software",,,51-100,,,,,,,,,,,,,,,,,,,,,
Smartis,https://www.crunchbase.com/organization/smartis,,"Business Intelligence, Cloud Computing, Cyber Security, Software","Ljubljana, Ljubljana Urban Commune, Slovenia",Smartis is a dynamic and innovative IT company expanding its footprint throughout the entire EMEA region.,"629,180","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,2009-01-01,year,,,For Profit,https://smartis.si,,,,,,,,,,,,"Data and Analytics, Information Technology, Internet Services, Privacy and Security, Software",,,101-250,,,,,,,,,,,,,,,,,,,,,
Sarda Energy & Minerals,https://www.crunchbase.com/organization/sarda-energy-minerals,,"Manufacturing, Precious Metals","Raipur, Chhattisgarh, India",Sarda Energy & Minerals is a manufacturer and exporter of niche-grade manganese-based ferroalloys.,"630,758",Asia-Pacific (APAC),Active,1973-01-01,day,2009-12-04,day,For Profit,http://www.seml.co.in/,,,,,,,,,,,,"Manufacturing, Natural Resources",Kamal Kishore Sarda,1,1001-5000,,IPO,,,,,,,,,,,,,,,,,,,
LITEF,https://www.crunchbase.com/organization/litef,,"Air Transportation, Industrial Manufacturing, Manufacturing, Space Travel","Freiburg, Baden-Wurttemberg, Germany","LITEF is a defense and space manufacturing company that helps commercial aviation, industrial solutions, and legacy product service.","643,734","European Union (EU), Europe, Middle East, and Africa (EMEA)",Active,1961-01-01,year,,,For Profit,https://www.litef.de/,,,,,,,,,,,,"Manufacturing, Transportation",,,501-1000,,,,,,,,,,,,,,,,,,,,,
