name,domain
Ct Ingenieros Aeronauticos De Automocion E Industriales Sl,ctingenieros.es
Cy R I C Cyprus Research And Innovation Center,cyric.eu
Cyex Korlatolt Felelossegu Tarsasag,
Damen Naval,damennaval.com
Damen Research Development Innovation,damen.com
Damen Schelde Naval Shipbuilding,damennaval.com
Defensphere Oü,vegvisir.ee
Devslate Uab,bccs.tech
Diehl Aerospace,diehl.com
Dok Ing Drustvo S Ogranicenom Odgovornoscu Za Inzenjering I Unutarnjui Vanjsku Trgovinu,dok-ing.hr
Drass Galeazzi,drass.it
E Geos,e-geos.it
E S T E,estetechnology.com
EAST Pipes Integrated FOR,eastpipes.com
Edair Technologies Sl,
Eidel As,eidel.no
Eight Bells Hellas I K E,8bellshellas.com
Elliniki Aeroporiki Viomichania Anonymi Etaireia,haicorp.com
Embedded Acoustics B V,embeddedacoustics.com
Enamor Spolka Z Ograniczona Odpowiedzialnoscia,enamorint.com
Equipos Moviles De Campana Arpa,arpaemc.com
Era As,era.aero
Eramet SA,eramet.com
Eregli Demir VE Celik Fabrikalari,erdemir.com.tr
Ericsson B,ericsson.com
Ericsson France,ericsson.com
Ericsson Magyarorszag Kommunikacios Rendszerek Kft,ericsson.com
Esc Defence S R O,esc-aerospace.cz
Etme Peppas Associates,etme.gr
Exail Robotics,exail.com
Exail Robotics Belgium,exail.com
Exatel Spolka Akcyjna,exatel.pl
Fabentech,fabentech.com
Factiven,factiven.io
FAIR Isaac,fico.com
Feac Engineering Private,feacomp.com
FENG HSIN IRON & Steel,fenghsin.com.tw
Ferbasa PREF,ferbasa.com.br
Fiberbridge Photonics,fiberbridge-photonics.com
Fincantieri Nextech,fincantieri.com
Fireco As,fireco.no
Fortescue,fmgl.com.au
FOX Class A,foxcorporation.com
FOX Class B,foxcorporation.com
G E M Elettronica,gemrad.com
Gd European Land Systems Steyr,steyr-systems.com
Ge Avio,avioaero.com
Geoimaging,geoimaging.com.cy
Giss Spolka Z Ograniczona Odpowiedzialnoscia,giss.pl
Gkn Fokker Aerospace,fokker.com
Global Design Technology,gdtech.net
GMK Norilskiy Nikel,nornickel.com
Gmv Aerospace And Defence,gmv.com
Gmv Innovating Solutions,gmv.com
Gmvis Skysoft,gmv.com.pt
Grabher,grabher-group.at
Granges,granges.com
Grupa KETY SA,kety.pl
Grupo Mexico B,gmexico.com
Guangdong HEC Technology L,hec.cn
Guardiaris Racunalniske Aplikacije In Simulacije D O O,guardiaris.com
Gyala S R L,gyala.com
H Henriksen As,hhenriksen.com
Hanking GOLD,hankingmining.com
Harp Technologies,harptechnologies.com
Hat Tec,hattec.de
Hellenic Radiation Dosimetry Ike,herado.eu
Helsing Germany GmbH,helsing.ai
Henan Shenhuo COAL & Power A,shenhuo.com
Hensoldt France,hensoldt.net
Hensoldt Optronics,hensoldt.net
Hensoldt Sensors,hensoldt.net
HILL AND Smith,hsgroup.com
Hisdesat Servicios Estrategicos,hisdesat.es
Hitec Luxembourg Hitec,hitec.lu
Hm Elektronikai Logisztikai Es Vagyonkezelo Zartkoruen Mukodo Reszvenytarsasag,hmei.hu
Holland Composites,hollandcomposites.nl
HON HAI Precision Industry,honhai.com
Honeywell Sro,honeywell.com
Hudson Dynamics B V,hudson.tech
I D S Ingegneria Dei Sistemi,idscorporation.com
Ict Legal Consulting B V,ictlegalconsulting.com
Ignity,wsl.be
Ihc Defence,royalihc.com
Immunor As,immunor.com
Impact,sas-impact.fr
Impala Platinum,implats.co.za
Indra Espacio Slu,indracompany.com
Indra Sistemas,indracompany.com
Industria De Turbo Propulsores Sociedad Unipersonal,itpaero.com
Industrieanlagen Betriebsgesellschaft Mbh,iabg.de
Infili Technologies,infili.com
Informa,informa.com
Innovation In Research Engineering Solutions,innovation-res.eu
Insta Advance,insta.fi
Instrumentation Technologies Elektronska Instrumentacija In Produkti Za Procesiranje Signalov Doo,i-tech.si
Intelekt Tv Llc,intelekt.net
Interoperability Systems Hellas Single Member,scytalys.com
Isaware,isaware.fi
Isd Aerospace,isdasa.com
Isd Lyseis Olokriromenon Systimatonanonymos Etaireia,isd.gr
Issel Nord,
Itres,itres-system.com
Itti Sp Zoo,itti.com.pl
Jafral Biotehnoloske Raziskave Inrazvoj Doo,jafral.com
Jastrzebska Spolka Weglowa SA,jsw.pl
Jena Optronik,jena-optronik.com
JFE,jfe-holdings.co.jp
Jiaxin Resources INV,jiaxinir.com
Jinchuan Resou,en.jnmc.com
John Cockerill Defense France,johncockerill.com
JX Advanced Metals,jx-nmm.com
Kapamed,kapamed.ro
Kapamed Ukraine Llc,kapamed.ro
Kardemir Karabuk Demir Celik Sanay,kardemir.com
KGHM Polska Miedz SA,kghm.com
Knds Ammo France,knds.fr
Knds Ammo Italy,knds.fr
Knds Belgium,knds.com
Knds Deutschland,knds.de
Knds Deutschland Tracks,knds-tracks.de
Knds France,knds.fr
Knds France Robotics,nexter-robotics.com
Kongsberg Discovery As,kongsberg.com
Koninklijke KPN,kpn.com
Kradient Intelligence,marshallai.com
L M Ericsson,ericsson.com
L Up,l-up.com
Laboratorios Farmaceuticos Rovi,rovi.es
Laboratorios Liconsa,chemogroup.com
Lambda X High Tech,lambda-x.com
Lasertec,lasertec.co.jp
Latvijas Mobilais Telefons Sia,lmt.lv
Leonardo Societa Per Azioni,leonardo.com
Liebherr Aerospace Lindenberg,liebherr.com
Logiicdev,logiicdev.eu
Logstail Single Member Privatecompany,logstail.com
Luxgovsat,govsat.lu
M3 Systems Belgium,
Maanshan IRON AND Steel H,magang.com.hk
Maharashtra Seamless,jindal.com
Marduk Technologies Ou,marduk.ee
Marinom,marinom.de
Marte Arge Gbr,
Mbda Deutschland,mbda-systems.com
Mbda Espana Sl,mbda-systems.com
Mbda France,mbda-systems.com
Mbda Italia,mbda-systems.com
Meccanica Per L'Elettronica E Servomeccanismi Mes Societa Per Azioni,mesroma.it
Mechel PREF,mechel.ru
META Platforms Class A,meta.com
Metalurgica Gerdau PREF SA,gerdau.com
Mews France,mews-partners.com
Mews Labs,mews-labs.com
Mil Sistemika Int Informacijske Resitve D O O,milsistemika.com
Milrem As,milremrobotics.com
Mimicrys Systems,mimicrys.com
Motor Oil (Hellas) Diilistiria Korinthou A E,moh.gr
Motor Oil Renewable Energy Monoprosopi Ae,more-energy.gr
MP Materials Class A,mpmaterials.com
Msm Land Systems S R O,msmls.sk
Mtg Marinetechnik,mtg-marinetechnik.de
N7 Nemzeti Vedelmi Ipari Innovacios Zartkoruen Mukodo Reszvenytarsasag,
Nammo Lapua,lapua.com
Nammo Raufoss As,nammo.com
Nammo Sweden Aktiebolag,nammo.com
Naval,naval-group.com
Naval Belgium,naval-group.com
Navis Consult Doo Projektiranje I Konstruiranje Broda,kongsberg.com
Naxys Technologies As,naxystechnologies.com
Nederlandse Instrumenten Compagnie Nedinsco,nedinsco.com
Neosat,neosat.de
NEWS Class A,newscorp.com
NEWS Class B,newscorp.com
Nexa Technologies,
Nixu,dnv.com
NMDC Steel,nsltd.in
Nokia Solutions And Networks Kft,nokia.com
Nokia Solutions And Networks Sp Zoo,nokia.com
Nordic Radar Solutions Aps,nordicradarsolutions.com
Northam Platinum Hldgs,northam.co.za
Northrop Grumman Litef,litef.de
Novolipetsk Steel,nlmk.com
Nucor,nucor.com
Nurenda Technologies,nurenda.com
Oceanscan Marine Systems Technology Lda,oceanscan-mst.com
Ohb Digital Connect,ohb.de
Ohb Hellas Monoprosopi Etaireia Periorismenis Efthinis,ohb-hellas.gr
Onedrone Sobodne Tehnologije Doo,onedrone.com
Opgs Pharmaceuticals,
Optimal Structural Solutions Lda,optimal.pt
Osauhing Rantelon,rantelon.ee
Osrodek Badawczo Rozwojowy Centrum Techniki Morskiej Spolka Akcyjna,ctm.gdynia.pl
Osrodek Badawczo Rozwojowy Urzadzen Mechanicznych Obrum Sp Zo O,obrum.pl
Palantir Technologies Class A,palantir.com
Patria,patriagroup.com
Patria Aerostructures,patriagroup.com
Patria Aviation,patriagroup.com
Patria Land,patria.fi
Pegasus Research Development,
Philips Electronics Nederland,philips.com
Piedrafita Systems Sl,piedrafita.com
Pno Innovation,pnoinnovation.com
Polyamp Aktiebolag,polyamp.se
Poongsanoration,poongsan.co.kr
Press Metal Aluminium,pressmetal.com
Qatar Aluminium Manufacturing,qatalum.com
Reaktor Innovations,reaktor.com
Reliance Steel & Aluminum,rsac.com
Renk,renk-group.com
Renk Magnet Motor,magnet-motor.de
Rheinmetall Defence Nederland B V,rheinmetall.com
Rheinmetall Electronics,rheinmetall.com
Rheinmetall Expal Munitions U,rheinmetall.com
Rheinmetall Hungary Munitions Zartkoruen Mukodo Reszvenytarsasag,rheinmetall.com
Rheinmetall Italia,rheinmetall-defence.com
Rheinmetall Man Military Vehicles Osterreich Gesmbh,rheinmetall-defence.com
Rheinmetall Norway As,rheinmetall.com
Rheinmetall Project Solutions,rheinmetall.com
Rheinmetall Protection Systems,rheinmetall.com
Rheinmetall Technology Center,rheinmetall.com
Rheinmetall Waffe Munition,rheinmetall.com
Rialiskeip Typorama Monoprosopi Etairia Periorismenis Efthynis,typorama.gr
Ricardo Domingos Bergano Lda,atlar.pt
Robotina D O O Podjetje Za Inzeniring Marketing Trgovino In Proizvodnjo,robotina.si
Rockwell Collins France,rockwellcollins.fr
Rolls Royce Deutschland,rolls-royce.com
S T Netherlands,stcorp.nl
Saab Aktiebolag,saab.com
Saab Dynamics Aktiebolag,saab.com
Saab Finland,saab.com
Saab Kockums Aktiebolag,saab.com
Saab Tactical Electronics,saab.com
Safran Ai,safran-goup.com
Safran Electrical Power Chatou,safran-group.com
Safran Electronics Defense,safran-group.com
Safran Electronics Defense Spain Sociedad Limitada,safran-group.com
Safran Power Units,safran-group.com
Safran Sensing Technologies Norway As,sensonor.com
Safran Transmission Systems,safran-transmission-systems.com
Safran Trusted 4D,safran-navigation-timing.com
Samsung Electronics NON Voting PRE,samsung.com
Sandur Manganese AND IRON ORES,sandurgroup.com
Santa Barbara Sistems,gdels.com
Sapa Operaciones S L,sapa.es
Sarda Energy AND Minerals,seml.co.in
Satlantis Microsats,satlantis.com
Satways Olokliromenes Lyseis Asfaleias Kai Amynas Idiotiki Epicheirisi Parochis Ypiresion Asfaleias (Iepya) Etaireia Periorismenis Efthynis,satways.net
Scertas,scertas.de
Schwar Jorg,35reclaim.com
Sener Aeroespacial Sociedad Anonima,aeroespacial.sener
Severstal,severstal.com
Shandong Hongqiao Aluminum Industr,en.hongqiaochina.com
Shandong Nanshan Aluminium A,en.nanshan.com.cn
Shanjin GOLD A,en.sji-gold.com
Shougang Fushan Resources LT,shougang-resources.com.hk
Sia Dati,datigroup.com
Sia Exonicus R D,exonicus.eu
Singapore Telecommunications,singtel.com
Sinomine Resource A,en.sinomine.cn
Sira Societa Per L Informatica La Ricerca E L Automazione,sira.net
Sistrade Software Consulting,sistrade.com
Skyld Security And Defence,skyld.com.cy
Slf Svenska Laserfabriken,laserfabriken.com
Smart Ship B V,smart-ship.eu
Smartis Informacijski Sistemi D O O,smartis.si
Societe Belge De Materiaux Composites,sobelcomp.be
Societe D'Ingenierie De Rechercheset D'Etudes En Hydrodynamique Navale,sirehna.com
Softox Defense Solutions As,soft-ox.com
Sol1,sol.one
Sonovision Ingenieros España,www.sonovisiongroup.com
Sopra Steria As,soprasteria.no
Space Hellas Anonymi Etaireia Systimata Kai Ypiresies Tilepikoinonionpliroforikis Asfaleias Idiotiki Epicheirisi Parochis Yperision Asfa,space.gr
Spacewave Ou,spacewave.eu
Ssrd Varnost Programske Opreme Raziskave In Razvoj D O O,ssrd.io
St Analytics,st-analytics.de
Starion Nederland,stariongroup.eu
Stv As,stvgroup.cz
Svensk Konstruktionstjaenst,svekon.se
Svenska Rymdaktiebolaget,sscspace.com
Sybilla Technologies Spolka Z Ograniczona Odpowiedzialnoscia,sybillatechnologies.com
Tdw Gesellschaft Fur Verteidigungstechnische Wirksysteme Mit Beschrankte Rhaftung,tdw-warhead-systems.de
Technology For Propulsion And Innovation,t4innovation.com
TECK Resources Subordinate Voting,teck.com
Tecnobit Sl,tecnobit.es
Tekever Uas,tekever.com
Telecom Italia S.p.a,gruppotim.it
Teledyne Adimec Advanced Image Systems,adimec.com
Telefonica Brasil ADS Representing,telefonica.com.br
Telefonica Moviles Espana,telefonica.com
Telespazio Germany,telespazio.de
Teletel Technologia Aerodiastimikis Kai Aminas,teletel.eu
Telia,telia.com
Terma As,terma.com
Terra Spatium Ae Proionton Kai Ypiresion Geopliroforikis Kai Diastimatos,terraspatium.gr
Test Fuchs,test-fuchs.com
Thales Avs France,thalesgroup.com
Thales Belgium,thalesgroup.com
Thales Cryogenics,thalesgroup.com
Thales Dis France,thalesgroup.com
Thales Dms France,thalesgroup.com
Thales Edisoft Portugal,edisoft.pt
Thales Espana Sistemas,thalesgroup.com
Thales Hellas Monoprosopi Anonymi Etaireia Paragogis Emporias Kai Ypiresion Ilektronikou Exoplismou,thalesgroup.com
Thales Italia,thalesgroup.com
Thales Las France,thalesgroup.com
Thales Nederland,thales-nederland.nl
Thales Norway As,thales.no
Thales Romania,thalesgroup.com
Thales Six Gts France,thalesgroup.com
THE SAGE,sage.com
Tiangong,tiangong-tools.com
Tianshan Aluminum A,
Tilde Sia,tilde.eu
Tkms Atlas Elektronik,atlas-elektronik.com
Tkms Hagenuk Marinekommunikation,hmk.atlas-elektronik.com
TKO Class A,tkogroup.com
TMC THE Metals,metals.co
Tns Mars,
Tokyo Steel Manufacturing,tokyosteel.co.jp
Tongling Nonferrous Metals L,tnmg.com.cn
TR Anadolu Metal Madencilik Isletm,tranadolumetal.com
True Communication Technologies,vrai.ie
Txt E Tech,txtgroup.com
Uab Altechna Sensing,altechna.com
Uab Kongsberg Nanoavionics,nanoavionics.com
Uab Novian Pro,novian.io
Ubitech,ubitech.eu
United Aircraft,
United Micro Electronics,umc.com
United Rusal,rusal.com
USHA Martin,ushamartin.com
Usinas Siderurgicas DE Minas Gerai,eng.usiminas.com.br
VALE DO RIO DOCE,vale.com
VALE Indonesia,vale.com
Valneva Austria,valneva.com
Vetronics Research Centre Eu,eu.vetronics.org
Viohalco SA,viohalco.gr
Viro Echt B V,viro-group.com
Vop Novaky As,msm.sk
Wiser Technology Solutions Eood,wisertech.com
Wsense,wsense.it
Xiamen Tungsten A,xiamentungsten.com
Xysensing Spolka Z Ograniczona Odpowiedzialnoscia,xysensing.pl
Yodoko,yodoko.co.jp
Yunnan Aluminium A,ylgf.chinalco.com.cn
Zaklady Metalowe Dezamet Spolka Akcyjna,dezamet.com.pl
Zatloukal Innovations,zatloukal-innovations.at
